부위,운동명
하체,바벨 스쿼트
하체,데드리프트(컨벤셔널)
하체,레그 프레스
하체,(맨몸)런지
하체,레그 컬
하체,바벨 스티프 레그 데드리프트
하체,브이 스쿼트
하체,레그 익스텐션
하체,덤벨 런지
하체,핵 스쿼트 머신
하체,덤벨 스모 스쿼트
하체,카프 레이즈
하체,힙 어덕션 머신(이너싸이)
하체,힙 어브덕션 머신(아웃타이)
하체,바벨 힙 쓰러스트
하체,스미스 머신 스쿼트
하체,원 레그 니 업
하체,바벨 와이드 스쿼트
하체,스미스 머신 런지
하체,워킹 런지
하체,바벨 내로우 스쿼트
하체,스모 데드리프트
하체,박스 스쿼트
하체,박스 점프
하체,덤벨 불가리안 스플릿 스쿼트
하체,프론트 스쿼트
하체,글루트 햄 레이즈
하체,글루트 킥 백
하체,고블릿 스쿼트
하체,바벨 핵 스쿼트
하체,피스톨 스쿼트
하체,밴드 스쿼트
하체,덤벨 스쿼트
하체,스미스 머신 와이드 스쿼트
하체,제르셔 스쿼트(저쳐 스쿼트)
하체,힙 익스텐션
하체,백 런지
하체,힙 쓰러스트 머신
하체,사이드 런지
하체,힙 어브덕션
하체,사이드 킥백
하체,크로스 런지
하체,스탠딩 레그 컬
하체,시티드 카프레이즈 머신
하체,시티드 바벨 카프레이즈
하체,케틀벨 스모 데드리프트 하이풀
하체,펜들럼 스쿼트
하체,원 레그 덤벨 데드리프트
하체,원 레그 바벨 힙쓰러스트
하체,점프 스쿼트
하체,시티드 원 레그 프레스
하체,스탠딩 카프 레이즈 머신
하체,힙 익스텐션 머신
하체,와이드 스쿼트(맨몸)
하체,스쿼트(맨몸)
하체,덤벨 스티프 레그 프레스
하체,글루트 킥 백 앤 사이드 킥
하체,글루트 킥 백 앤 크로스
하체,니 힙 쓰러스트
하체,사이드 레이즈 앤 킥
하체,스모 스쿼트 플로어 터치
하체,원 레그 데드리프트
하체,원 레그 힙 쓰러스트
하체,하이 니 스쿼트
하체,힙 쓰러스트(맨몸)
하체,런지 점프
하체,시티드 레그 프레스
하체,싱글 라잉 레그 컬
하체,원 레그 익스텐션
하체,스텝 박스 덤벨 백 런지
하체,케틀벨 프론트 스쿼트
하체,케이블 힙 어브덕션
하체,케이블 힙 익스텐션
하체,힙 글루트 머신
하체,바벨 카프 레이즈
하체,덤벨 백 런지
하체,박스 피스톨 스쿼트
하체,박스 케틀벨 스쿼트
하체,박스 바벨 스쿼트
하체,시티드 레그 컬
하체,리버스 하이퍼 머신
하체,보수볼 스쿼트
하체,스플릿 스쿼트
하체,덤벨 스플릿 스쿼트
하체,시티드 레그 프레스 카프 레이즈
하체,케틀벨 런지
하체,케틀벨 고블릿 스쿼트
하체,원 레그 케틀벨 데드리프트
하체,스미스 머신 힙 쓰러스트
하체,스미스 머신 카프 레이즈
하체,스탠딩 힙 어브덕션
하체,밴드 힙 어브덕션
하체,덤벨 크로스 런지
하체,크랩 워킹
하체,몬스터 글루트 머신
하체,덤벨 워킹 런지
하체,바벨 워킹 런지
하체,원 레그 스미스 머신 데드리프트
하체,덤벨 와이드 스쿼트
하체,내로우 스쿼트(맨몸)
하체,스미스 머신 크로스 런지
하체,로우 런지
하체,런지 트위스트
하체,레버리지 스쿼트
하체,리버스 브이 스쿼트
하체,리버스 핵 스쿼트
하체,스미스 머신 스티프 데드리프트
하체,스미스 머신 데드리프트
하체,스비스 머신 스모 데드리프트
하체,덤벨 레터럴 스텝업
하체,케틀벨 레터럴 스텝업
하체,덤벨 스텝업
하체,밴드 스텝업
하체,스미스 머신 닐링 스쿼트
하체,덤벨 힙 쓰러스트
하체,노르딕 컬
하체,씨시 스쿼트
하체,스미스 머신 스플릿 스쿼트
하체,핵 프레스 머신
하체,케이블 풀 쓰루
하체,원레그 핵 스쿼트
하체,점프 덤벨 스쿼트
하체,케이블 스쿼트
하체,스미스 머신 불가리안 스플릿 스쿼트
하체,덤벨 내로우 스쿼트
하체,브이 스쿼트 굿모닝
하체,굿모닝
하체,원 레그 프레스
하체,케틀벨 와이드 스쿼트
하체,덤벨 루마니안 데드리프트
하체,루마니안 데드리프트
하체,글루트 믹 백 머신
하체,시티드 원 레그 컬
하체,백 익스텐션
가슴,벤치 프레스
가슴,덤벨 벤치 프레스
가슴,덤벨 풀오버
가슴,펙덱 플라이
가슴,덤벨 플라이
가슴,푸쉬업
가슴,케이블 크로스오버
가슴,딥스
가슴,체스트 프레스 머신
가슴,스미스 머신 벤치 프레스
가슴,디클라인 벤치 프레스
가슴,디클라인 덤벨 벤치 프레스
가슴,인크라인 벤치 프레스
가슴,인클라인 덤벨 벤치 프레스
